county_name,iso_code,region_name,region_code,population,density,unknown,rank,notes
Herefordshire,GB-HEF,West Midlands,WESTMID,"183,600",84,"2,180",64,
Hertfordshire,GB-HRT,East of England,EAST,"1,119,800",682,"1,643",12,
Kingston-upon-Hull,GB-KHL,Yorkshire and the Humber,YORKHUMB,"256,100","3,584",71,50,
Isle of Wight,GB-IOW,South East,SOUTHEAST,"138,400",364,380,82,
Isles of Scilly,GB-IOS,South West,SOUTHWEST,"2,200",134,16,90,
Kent,GB-KEN,South East,SOUTHEAST,"1,466,500",413,"3,544",5,
Kirklees,GB-KIR,Yorkshire and the Humber,YORKHUMB,,,,,
Knowsley,GB-KWL,North West,NORTHWEST,,,,,
Lancashire,GB-LAN,North West,NORTHWEST,"1,171,600",404,"2,903",10,
Leeds,GB-LDS,Yorkshire and the Humber,YORKHUMB,,,,,
Leicester,GB-LCE,East Midlands,EASTMID,"329,600","4,494",73,41,
Leicestershire,GB-LEC,East Midlands,EASTMID,"651,200",313,"2,083",24,
Lincolnshire,GB-LIN,East Midlands,EASTMID,"714,800",121,"5,921",21,
Liverpool,GB-LIV,North West,NORTHWEST,,,,,
Luton,GB-LUT,East of England,EAST,"203,600","4,696",43,58,
Medway,GB-MDW,South East,SOUTHEAST,"264,900","1,379",192,47,
Merseyside,,North West,NORTHWEST,"1,380,800","2,141",645,7,metropolitan county
Middlesbrough,GB-MDB,North East,NORTHEAST,"138,400","2,569",54,81,
Milton Keynes,GB-MIK,South East,SOUTHEAST,"249,900",810,309,52,
Newcastle Upon Tyne,GB-NET,North East,NORTHEAST,,,,,
Norfolk,GB-NFK,East of England,EAST,"859,400",160,"5,371",14,
North East Lincolnshire,GB-NEL,Yorkshire and the Humber,YORKHUMB,"159,700",832,192,70,
North Lincolnshire,GB-NLN,Yorkshire and the Humber,YORKHUMB,"167,500",198,846,68,
North Somerset,GB-NSM,South West,SOUTHWEST,"203,100",543,374,59,
North Tyneside,GB-NTY,North East,NORTHEAST,,,,,
North Yorkshire,GB-NYK,Yorkshire and the Humber,YORKHUMB,"601,200",75,"8,038",26,
Northamptonshire,GB-NTT,East Midlands,EASTMID,"693,900",294,"2,364",22,
Northumberland,GB-NBL,North East,NORTHEAST,"316,300",63,"5,013",43,
Nottingham,GB-NGM,East Midlands,EASTMID,"303,900","4,073",75,45,
Nottinghamshire,GB-NTT,East Midlands,EASTMID,"786,700",377,"2,085",17,
Oldham,GB-OLD,North West,NORTHWEST,,,,,
Oxfordshire,GB-OXF,South East,SOUTHEAST,"654,800",251,"2,605",23,
Peterborough,GB-PTE,East of England,EAST,"184,500",537,343,63,
Plymouth,GB-PLY,South West,SOUTHWEST,"256,600","3,216",80,49,
Poole,GB-POL,South West,SOUTHWEST,"148,100","2,287",65,76,
Portsmouth,GB-POR,South East,SOUTHEAST,"205,400","5,089",40,57,
Reading,GB-RDG,South East,SOUTHEAST,"155,300","3,844",40,73,
Redcar and Cleveland,GB-RCC,North East,NORTHEAST,"135,200",552,245,83,
Rochdale,GB-RCH,North West,NORTHWEST,,,,,
Rotherham,GB-ROT,Yorkshire and the Humber,YORKHUMB,,,,,
Rutland,GB-RUT,East Midlands,EASTMID,"37,600",99,382,89,
Salford,GB-RUT,North West,NORTHWEST,,,,,
Sandwell,GB-SAW,West Midlands,WESTMID,,,,,
Sefton,GB-SFT,North West,NORTHWEST,,,,,
Sheffield,GB-SHF,Yorkshire and the Humber,YORKHUMB,,,,,
Shropshire,GB-SHR,West Midlands,WESTMID,"307,100",96,"3,197",44,
Slough,GB-SLG,South East,SOUTHEAST,"140,700","4,323",33,80,
Solihull,GB-SOL,West Midlands,WESTMID,,,,,
Somerset,GB-SOM,South West,SOUTHWEST,"531,600",154,"3,451",31,
South Gloucestershire,GB-SGC,South West,SOUTHWEST,"263,400",530,497,48,
South Tyneside,GB-STY,North East,NORTHEAST,,,,,
South Yorkshire,,Yorkshire and the Humber,YORKHUMB,"1,343,900",866,"1,552",8,metropolitan county
Southampton,GB-STH,South East,SOUTHEAST,"235,900","4,733",50,55,
Southend-on-Sea,GB-SOS,East of England,EAST,"174,300","4,174",42,67,
St Helens,GB-SHN,North West,NORTHWEST,,,,,
Staffordshire,GB-STS,West Midlands,WESTMID,"849,600",324,"2,620",15,
Stockport,GB-SKP,North West,NORTHWEST,,,,,
Stockton-on-Tees,GB-STT,North East,NORTHEAST,"191,800",941,204,62,
Stoke-on-Trent,GB-STE,West Midlands,WESTMID,"248,700","2,661",93,54,
Suffolk,GB-SFK,East of England,EAST,"730,100",192,"3,800",20,
Sunderland,GB-SND,North East,NORTHEAST,,,,,
Surrey,GB-SRY,South East,SOUTHEAST,"1,135,500",683,"1,663",11,
Swindon,GB-SWD,South West,SOUTHWEST,"209,700",911,230,56,
Tameside,GB-TAM,North West,NORTHWEST,,,,,
Telford and Wrekin,GB-TFW,West Midlands,WESTMID,"166,800",575,290,69,
Thurrock,GB-THR,East of England,EAST,"158,300",969,163,71,
Torbay,GB-TOB,South West,SOUTHWEST,"131,200","2,086",63,84,
Trafford,GB-TRF,North West,NORTHWEST,,,,,
Tyne and Wear,,North East,NORTHEAST,"1,104,100","2,044",540,13,metropolitan county
Wakefield,GB-WKF,Yorkshire and the Humber,YORKHUMB,,,,,
Walsall,GB-WLL,West Midlands,WESTMID,,,,,
Warrington,GB-WRT,North West,NORTHWEST,"202,700","1,122",181,60,
Warwickshire,GB-WAR,West Midlands,WESTMID,"546,500",277,"1,975",29,
West Berkshire,GB-WBK,South East,SOUTHEAST,"154,100",219,704,75,
West Midlands,,West Midlands,WESTMID,"2,739,800","3,039",902,2,metropolitan county
West Sussex,GB-WSX,South East,SOUTHEAST,"808,900",406,"1,990",16,
West Yorkshire,,Yorkshire and the Humber,YORKHUMB,"2,227,400","1,098","2,029",4,metropolitan county
Wigan,GB-WGN,North West,NORTHWEST,,,,,
Wiltshire,GB-WIL,South West,SOUTHWEST,"474,300",146,"3,255",36,
Windsor and Maidenhead,GB-WNM,South East,SOUTHEAST,"145,100",738,197,78,
Wirral,GB-WRL,North West,NORTHWEST,,,,,
Wokingham,GB-WOK,South East,SOUTHEAST,"154,900",866,179,74,
Wolverhampton,GB-WLV,West Midlands,WESTMID,,,,,
Worcestershire,GB-WOR,West Midlands,WESTMID,"566,500",325,"1,741",28,
York,GB-YOR,Yorkshire and the Humber,YORKHUMB,"197,800",727,272,61,
